med_group,concept_id
Systemic glucocorticoids,19116153
Systemic glucocorticoids,19118101
Systemic glucocorticoids,19118103
Systemic glucocorticoids,19118145
Systemic glucocorticoids,19118446
Systemic glucocorticoids,19118641
Systemic glucocorticoids,19118695
Systemic glucocorticoids,19118696
Systemic glucocorticoids,19118697
Systemic glucocorticoids,19118716
Systemic glucocorticoids,19120343
Systemic glucocorticoids,19120348
Systemic glucocorticoids,19120349
Systemic glucocorticoids,19120353
Systemic glucocorticoids,19120572
Systemic glucocorticoids,19120573
Systemic glucocorticoids,19120574
Systemic glucocorticoids,19120583
Systemic glucocorticoids,19120626
Systemic glucocorticoids,19120885
Systemic glucocorticoids,19121384
Systemic glucocorticoids,19121519
Systemic glucocorticoids,19122088
Systemic glucocorticoids,19122159
Systemic glucocorticoids,19122719
Systemic glucocorticoids,19122734
Systemic glucocorticoids,19124041
Systemic glucocorticoids,19124218
Systemic glucocorticoids,19125539
Systemic glucocorticoids,19125543
Systemic glucocorticoids,19125545
Systemic glucocorticoids,19126580
Systemic glucocorticoids,19129772
Systemic glucocorticoids,19133284
Systemic glucocorticoids,19135618
Systemic glucocorticoids,21023076
Systemic glucocorticoids,21026166
Systemic glucocorticoids,21030801
Systemic glucocorticoids,21031780
Systemic glucocorticoids,21032448
Systemic glucocorticoids,21035053
Systemic glucocorticoids,21035054
Systemic glucocorticoids,21040671
Systemic glucocorticoids,21042137
Systemic glucocorticoids,21042749
Systemic glucocorticoids,21043846
Systemic glucocorticoids,21050484
Systemic glucocorticoids,21060272
Systemic glucocorticoids,21065310
Systemic glucocorticoids,21070229
Systemic glucocorticoids,21070231
Systemic glucocorticoids,21075335
Systemic glucocorticoids,21079940
Systemic glucocorticoids,21084958
Systemic glucocorticoids,21089658
Systemic glucocorticoids,21094866
Systemic glucocorticoids,21099553
Systemic glucocorticoids,21109432
Systemic glucocorticoids,21111451
Systemic glucocorticoids,21114406
Systemic glucocorticoids,21114410
Systemic glucocorticoids,21119098
Systemic glucocorticoids,21119101
Systemic glucocorticoids,21122852
Systemic glucocorticoids,21128885
Systemic glucocorticoids,21129891
Systemic glucocorticoids,21138781
Systemic glucocorticoids,21143925
Systemic glucocorticoids,21148634
Systemic glucocorticoids,21153886
Systemic glucocorticoids,21172569
Systemic glucocorticoids,21173471
Systemic glucocorticoids,35408101
Systemic glucocorticoids,35411989
